=== 330 加湿 PID 动态记录（规格书 3.8 验算，纯 Modbus）===
参数: KPS=5  TIS=100s  KDS=0  T=5s  SDF=20.0%RH

   t | Sys | 设定 实际 | E(931) | N(892) BX Z(939) 期望Z | 备注
    348 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    350 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    351 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    355 |  0 |  50.0  50.3 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    356 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    360 |  0 |  50.0  50.3 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    361 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    364 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    365 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    369 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    373 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    376 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    384 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    389 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    394 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    395 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    400 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    402 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    407 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    409 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    412 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    413 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    418 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    419 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    420 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    422 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    423 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    425 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    427 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    429 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    433 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    435 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    439 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    440 |  0 |  50.0  50.5 |      0 |    0   1     0      0 | 制热故障=1 | 死区
    445 |  0 |  50.0  50.4 |      0 |    0   1     0      0 | 制热故障=1 | 死区
